country_year;LOCATION;Country;SUBJECT;Subject;MEASURE;Measure;TIME;Time;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags;year_min1;Value_min1
Canada2005Annual growth/changeGDP per hour worked, constant prices ;CAN;Canada;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2005;2005;PC;Percentage;0;Units;;;2.214233;;;2004;0.846658
Canada2006Annual growth/changeGDP per hour worked, constant prices ;CAN;Canada;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2006;2006;PC;Percentage;0;Units;;;1.065215;;;2005;2.214233
Canada2007Annual growth/changeGDP per hour worked, constant prices ;CAN;Canada;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2007;2007;PC;Percentage;0;Units;;;-0.00946;;;2006;1.065215
Canada2008Annual growth/changeGDP per hour worked, constant prices ;CAN;Canada;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2008;2008;PC;Percentage;0;Units;;;-0.277681;;;2007;-0.00946
Canada2009Annual growth/changeGDP per hour worked, constant prices ;CAN;Canada;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2009;2009;PC;Percentage;0;Units;;;0.477291;;;2008;-0.277681
Canada2010Annual growth/changeGDP per hour worked, constant prices ;CAN;Canada;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2010;2010;PC;Percentage;0;Units;;;1.023988;;;2009;0.477291
Canada2011Annual growth/changeGDP per hour worked, constant prices ;CAN;Canada;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2011;2011;PC;Percentage;0;Units;;;1.63728;;;2010;1.023988
Canada2012Annual growth/changeGDP per hour worked, constant prices ;CAN;Canada;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2012;2012;PC;Percentage;0;Units;;;0.225845;;;2011;1.63728
Canada2013Annual growth/changeGDP per hour worked, constant prices ;CAN;Canada;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2013;2013;PC;Percentage;0;Units;;;1.328985;;;2012;0.225845
Canada2014Annual growth/changeGDP per hour worked, constant prices ;CAN;Canada;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2014;2014;PC;Percentage;0;Units;;;2.636191;;;2013;1.328985
Canada2015Annual growth/changeGDP per hour worked, constant prices ;CAN;Canada;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2015;2015;PC;Percentage;0;Units;;;-0.24984;;;2014;2.636191
Canada2016Annual growth/changeGDP per hour worked, constant prices ;CAN;Canada;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2016;2016;PC;Percentage;0;Units;;;0.419569;;;2015;-0.24984
Canada2017Annual growth/changeGDP per hour worked, constant prices ;CAN;Canada;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2017;2017;PC;Percentage;0;Units;;;1.717608;;;2016;0.419569
Canada2018Annual growth/changeGDP per hour worked, constant prices ;CAN;Canada;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2018;2018;PC;Percentage;0;Units;;;-0.210261;;;2017;1.717608
Portugal1971Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1971;1971;PC;Percentage;0;Units;;;7.569182;;;1970;#N/A
Portugal1972Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1972;1972;PC;Percentage;0;Units;;;8.178389;;;1971;7.569182
Portugal1973Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1973;1973;PC;Percentage;0;Units;;;11.162033;;;1972;8.178389
Portugal1974Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1974;1974;PC;Percentage;0;Units;;;-0.255002;;;1973;11.162033
Portugal1975Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1975;1975;PC;Percentage;0;Units;;;-7.913295;;;1974;-0.255002
Portugal1976Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1976;1976;PC;Percentage;0;Units;;;3.906659;;;1975;-7.913295
Portugal1977Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1977;1977;PC;Percentage;0;Units;;;4.485819;;;1976;3.906659
Portugal1978Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1978;1978;PC;Percentage;0;Units;;;1.708105;;;1977;4.485819
Portugal1979Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1979;1979;PC;Percentage;0;Units;;;4.512793;;;1978;1.708105
Portugal1980Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1980;1980;PC;Percentage;0;Units;;;3.464954;;;1979;4.512793
Portugal1981Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1981;1981;PC;Percentage;0;Units;;;0.751601;;;1980;3.464954
Portugal1982Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1982;1982;PC;Percentage;0;Units;;;1.506818;;;1981;0.751601
Portugal1983Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1983;1983;PC;Percentage;0;Units;;;-0.604309;;;1982;1.506818
Portugal1984Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1984;1984;PC;Percentage;0;Units;;;-2.213955;;;1983;-0.604309
Portugal1985Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1985;1985;PC;Percentage;0;Units;;;2.581512;;;1984;-2.213955
Portugal1986Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1986;1986;PC;Percentage;0;Units;;;4.140956;;;1985;2.581512
Portugal1987Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1987;1987;PC;Percentage;0;Units;;;6.562351;;;1986;4.140956
Portugal1988Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1988;1988;PC;Percentage;0;Units;;;7.769477;;;1987;6.562351
Portugal1989Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1989;1989;PC;Percentage;0;Units;;;6.772697;;;1988;7.769477
Portugal1990Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1990;1990;PC;Percentage;0;Units;;;4.349566;;;1989;6.772697
Portugal1991Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1991;1991;PC;Percentage;0;Units;;;4.664256;;;1990;4.349566
Portugal1992Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1992;1992;PC;Percentage;0;Units;;;1.130173;;;1991;4.664256
Portugal1993Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1993;1993;PC;Percentage;0;Units;;;-2.152295;;;1992;1.130173
Portugal1994Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1994;1994;PC;Percentage;0;Units;;;0.722469;;;1993;-2.152295
Portugal1995Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1995;1995;PC;Percentage;0;Units;;;3.987391;;;1994;0.722469
Portugal1996Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1996;1996;PC;Percentage;0;Units;;;3.108978;;;1995;3.987391
Portugal1997Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1997;1997;PC;Percentage;0;Units;;;3.960327;;;1996;3.108978
Portugal1998Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1998;1998;PC;Percentage;0;Units;;;4.263697;;;1997;3.960327
Portugal1999Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1999;1999;PC;Percentage;0;Units;;;3.302573;;;1998;4.263697
Portugal2000Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2000;2000;PC;Percentage;0;Units;;;3.060268;;;1999;3.302573
Portugal2001Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2001;2001;PC;Percentage;0;Units;;;1.227133;;;2000;3.060268
Portugal2002Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2002;2002;PC;Percentage;0;Units;;;0.218512;;;2001;1.227133
Portugal2003Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2003;2003;PC;Percentage;0;Units;;;-1.305507;;;2002;0.218512
Portugal2004Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2004;2004;PC;Percentage;0;Units;;;1.567831;;;2003;-1.305507
Portugal2005Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2005;2005;PC;Percentage;0;Units;;;0.580664;;;2004;1.567831
Portugal2006Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2006;2006;PC;Percentage;0;Units;;;1.36968;;;2005;0.580664
Portugal2007Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2007;2007;PC;Percentage;0;Units;;;2.29077;;;2006;1.36968
Portugal2008Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2008;2008;PC;Percentage;0;Units;;;0.055022;;;2007;2.29077
Portugal2009Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2009;2009;PC;Percentage;0;Units;;;-3.06991;;;2008;0.055022
Portugal2010Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2010;2010;PC;Percentage;0;Units;;;1.851467;;;2009;-3.06991
Portugal2011Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2011;2011;PC;Percentage;0;Units;;;-1.682721;;;2010;1.851467
Portugal2012Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2012;2012;PC;Percentage;0;Units;;;-3.637608;;;2011;-1.682721
Portugal2013Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2013;2013;PC;Percentage;0;Units;;;-0.586515;;;2012;-3.637608
Portugal2014Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2014;2014;PC;Percentage;0;Units;;;1.438341;;;2013;-0.586515
Portugal2015Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2015;2015;PC;Percentage;0;Units;;;2.244764;;;2014;1.438341
Portugal2016Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2016;2016;PC;Percentage;0;Units;;;2.24754;;;2015;2.244764
Portugal2017Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2017;2017;PC;Percentage;0;Units;;;3.046515;;;2016;2.24754
Portugal2018Annual growth/changeGDP per capita, constant prices ;PRT;Portugal;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2018;2018;PC;Percentage;0;Units;;;2.3085;;;2017;3.046515
Iceland1971Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1971;1971;PC;Percentage;0;Units;;;11.970781;;;1970;#N/A
Iceland1972Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1972;1972;PC;Percentage;0;Units;;;4.562414;;;1971;11.970781
Iceland1973Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1973;1973;PC;Percentage;0;Units;;;5.252433;;;1972;4.562414
Iceland1974Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1974;1974;PC;Percentage;0;Units;;;4.253177;;;1973;5.252433
Iceland1975Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1975;1975;PC;Percentage;0;Units;;;-0.603434;;;1974;4.253177
Iceland1976Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1976;1976;PC;Percentage;0;Units;;;4.947586;;;1975;-0.603434
Iceland1977Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1977;1977;PC;Percentage;0;Units;;;7.993194;;;1976;4.947586
Iceland1978Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1978;1978;PC;Percentage;0;Units;;;5.180291;;;1977;7.993194
Iceland1979Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1979;1979;PC;Percentage;0;Units;;;3.856332;;;1978;5.180291
Iceland1980Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1980;1980;PC;Percentage;0;Units;;;4.630008;;;1979;3.856332
Iceland1981Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1981;1981;PC;Percentage;0;Units;;;3.071486;;;1980;4.630008
Iceland1982Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1982;1982;PC;Percentage;0;Units;;;0.760182;;;1981;3.071486
Iceland1983Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1983;1983;PC;Percentage;0;Units;;;-3.407703;;;1982;0.760182
Iceland1984Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1984;1984;PC;Percentage;0;Units;;;3.060862;;;1983;-3.407703
Iceland1985Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1985;1985;PC;Percentage;0;Units;;;2.47772;;;1984;3.060862
Iceland1986Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1986;1986;PC;Percentage;0;Units;;;5.481408;;;1985;2.47772
Iceland1987Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1987;1987;PC;Percentage;0;Units;;;7.331008;;;1986;5.481408
Iceland1988Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1988;1988;PC;Percentage;0;Units;;;-1.65824;;;1987;7.331008
Iceland1989Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1989;1989;PC;Percentage;0;Units;;;-0.876452;;;1988;-1.65824
Iceland1990Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1990;1990;PC;Percentage;0;Units;;;0.358548;;;1989;-0.876452
Iceland1991Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1991;1991;PC;Percentage;0;Units;;;-1.452335;;;1990;0.358548
Iceland1992Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1992;1992;PC;Percentage;0;Units;;;-4.53517;;;1991;-1.452335
Iceland1993Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1993;1993;PC;Percentage;0;Units;;;0.284118;;;1992;-4.53517
Iceland1994Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1994;1994;PC;Percentage;0;Units;;;2.743003;;;1993;0.284118
Iceland1995Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1995;1995;PC;Percentage;0;Units;;;-0.40534;;;1994;2.743003
Iceland1996Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1996;1996;PC;Percentage;0;Units;;;3.989825;;;1995;-0.40534
Iceland1997Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1997;1997;PC;Percentage;0;Units;;;4.979667;;;1996;3.989825
Iceland1998Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1998;1998;PC;Percentage;0;Units;;;5.961239;;;1997;4.979667
Iceland1999Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;1999;1999;PC;Percentage;0;Units;;;2.766909;;;1998;5.961239
Iceland2000Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2000;2000;PC;Percentage;0;Units;;;3.399537;;;1999;2.766909
Iceland2001Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2001;2001;PC;Percentage;0;Units;;;2.477536;;;2000;3.399537
Iceland2002Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2002;2002;PC;Percentage;0;Units;;;-0.194013;;;2001;2.477536
Iceland2003Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2003;2003;PC;Percentage;0;Units;;;1.667184;;;2002;-0.194013
Iceland2004Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2004;2004;PC;Percentage;0;Units;;;6.823684;;;2003;1.667184
Iceland2005Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2005;2005;PC;Percentage;0;Units;;;5.144164;;;2004;6.823684
Iceland2006Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2006;2006;PC;Percentage;0;Units;;;2.343497;;;2005;5.144164
Iceland2007Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2007;2007;PC;Percentage;0;Units;;;6.871762;;;2006;2.343497
Iceland2008Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2008;2008;PC;Percentage;0;Units;;;-0.562609;;;2007;6.871762
Iceland2009Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2009;2009;PC;Percentage;0;Units;;;-6.718805;;;2008;-0.562609
Iceland2010Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2010;2010;PC;Percentage;0;Units;;;-3.071483;;;2009;-6.718805
Iceland2011Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2011;2011;PC;Percentage;0;Units;;;1.562242;;;2010;-3.071483
Iceland2012Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2012;2012;PC;Percentage;0;Units;;;0.759475;;;2011;1.562242
Iceland2013Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2013;2013;PC;Percentage;0;Units;;;3.136893;;;2012;0.759475
Iceland2014Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2014;2014;PC;Percentage;0;Units;;;0.960151;;;2013;3.136893
Iceland2015Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2015;2015;PC;Percentage;0;Units;;;3.672363;;;2014;0.960151
Iceland2016Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2016;2016;PC;Percentage;0;Units;;;5.16465;;;2015;3.672363
Iceland2017Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2017;2017;PC;Percentage;0;Units;;;2.166885;;;2016;5.16465
Iceland2018Annual growth/changeGDP per capita, constant prices ;ISL;Iceland;T_GDPPOP_V;GDP per capita, constant prices ;GRW;Annual growth/change;2018;2018;PC;Percentage;0;Units;;;1.853079;;;2017;2.166885
Mexico1992Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1992;1992;PC;Percentage;0;Units;;;0.514402;;;1991;#N/A
Mexico1993Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1993;1993;PC;Percentage;0;Units;;;-0.411317;;;1992;0.514402
Mexico1994Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1994;1994;PC;Percentage;0;Units;;;-0.213296;;;1993;-0.411317
Mexico1995Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1995;1995;PC;Percentage;0;Units;;;-6.203716;;;1994;-0.213296
Mexico1996Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1996;1996;PC;Percentage;0;Units;;;1.130287;;;1995;-6.203716
Mexico1997Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1997;1997;PC;Percentage;0;Units;;;-1.157159;;;1996;1.130287
Mexico1998Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1998;1998;PC;Percentage;0;Units;;;5.889939;;;1997;-1.157159
Mexico1999Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;1999;1999;PC;Percentage;0;Units;;;-1.777079;;;1998;5.889939
Mexico2000Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2000;2000;PC;Percentage;0;Units;;;5.884471;;;1999;-1.777079
Mexico2001Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2001;2001;PC;Percentage;0;Units;;;0.677584;;;2000;5.884471
Mexico2002Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2002;2002;PC;Percentage;0;Units;;;-4.562877;;;2001;0.677584
Mexico2003Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2003;2003;PC;Percentage;0;Units;;;3.12817;;;2002;-4.562877
Mexico2004Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2004;2004;PC;Percentage;0;Units;;;1.3756;;;2003;3.12817
Mexico2005Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2005;2005;PC;Percentage;0;Units;;;-1.374607;;;2004;1.3756
Mexico2006Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2006;2006;PC;Percentage;0;Units;;;3.249408;;;2005;-1.374607
Mexico2007Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2007;2007;PC;Percentage;0;Units;;;1.36903;;;2006;3.249408
Mexico2008Annual growth/changeGDP per hour worked, constant prices ;MEX;Mexico;T_GDPHRS_V;GDP per hour worked, constant prices ;GRW;Annual growth/change;2008;2008;PC;Percentage;0;Units;;;-3.299295;;;2007;1.36903
